#,tenure,tenure_cat,PhoneService,MultipleLines,MonthlyCharges,TotalCharges,Churn
2444,72,Cat 8,1,1,109.55,7887.25,No
2451,72,Cat 8,1,1,110.45,8058.85,No
2502,72,Cat 8,1,0,20.35,1354.4,No
2507,72,Cat 8,1,1,24.3,1778.7,No
2510,72,Cat 8,1,1,25.25,1841.2,No
2525,72,Cat 8,1,0,19.9,1529.65,No
2526,72,Cat 8,1,1,97.75,6991.6,No
2538,72,Cat 8,1,1,113.4,8164.1,No
2542,72,Cat 8,0,0,53.8,3952.45,No
2560,72,Cat 8,1,1,115.55,8425.3,No
2570,72,Cat 8,1,1,24.85,1871.85,No
2600,72,Cat 8,1,0,73,5265.2,No
2602,72,Cat 8,1,1,98.65,7129.45,No
2604,72,Cat 8,1,1,114.9,8496.7,No
2616,72,Cat 8,1,1,91.35,6697.2,No
2668,72,Cat 8,1,1,115.05,8405,No
2686,72,Cat 8,1,1,100.65,7334.05,No
2690,72,Cat 8,1,1,116.75,8277.05,No
2694,72,Cat 8,1,0,19.3,1414.8,No
2706,72,Cat 8,1,1,25.65,1887,No
2718,72,Cat 8,1,1,92.65,6733,No
2788,72,Cat 8,1,1,26.1,1851.45,No
2817,72,Cat 8,1,1,109.55,8165.1,No
2885,72,Cat 8,1,1,90.15,6716.45,No
2902,72,Cat 8,1,1,95.1,6843.15,No
2916,72,Cat 8,0,0,63.8,4684.3,No
2921,72,Cat 8,1,0,85.1,6155.4,No
2942,72,Cat 8,1,1,97.95,7114.25,No
2973,72,Cat 8,0,0,65.25,4478.85,No
2981,72,Cat 8,1,1,25.45,1866.45,No
2989,72,Cat 8,1,1,109.65,7880.25,No
3024,72,Cat 8,1,1,89.7,6339.3,No
3040,72,Cat 8,0,0,64.45,4641.1,No
3108,72,Cat 8,1,1,113.65,8182.75,No
3112,72,Cat 8,1,1,103.4,7372.65,Yes
3113,72,Cat 8,1,1,100.55,7325.1,No
3132,72,Cat 8,1,1,78.45,5682.25,No
3178,72,Cat 8,0,0,48.9,3527,No
3204,72,Cat 8,1,1,88.05,6520.8,No
3206,72,Cat 8,1,1,117.6,8308.9,No
3248,72,Cat 8,1,1,111.6,8012.75,No
3267,72,Cat 8,1,0,20.1,1460.85,No
3296,72,Cat 8,1,1,80.2,5714.2,No
3346,72,Cat 8,1,1,101.35,7323.15,No
3379,72,Cat 8,1,0,84.45,6033.1,No
3383,72,Cat 8,1,1,25.55,1867.7,No
3422,72,Cat 8,1,1,97,7104.2,No
3440,72,Cat 8,1,1,104.15,7689.95,Yes
3467,72,Cat 8,1,1,25.1,1790.8,No
3524,72,Cat 8,1,1,112.1,7965.95,No
3541,72,Cat 8,1,0,108.65,7726.35,No
3544,72,Cat 8,1,1,105.6,7581.5,No
3577,72,Cat 8,1,1,23.3,1623.15,No
3620,72,Cat 8,1,0,85.3,6129.2,No
3623,72,Cat 8,1,1,90.95,6652.45,No
3635,72,Cat 8,1,1,113.8,7845.8,No
3636,72,Cat 8,1,1,24.55,1750.7,No
3735,72,Cat 8,1,1,108.1,7774.05,No
3742,72,Cat 8,1,1,104.9,7732.65,No
3762,72,Cat 8,1,1,82.65,5919.35,No
3768,72,Cat 8,1,1,110.9,8240.85,No
3815,72,Cat 8,1,1,88.7,6301.7,No
3821,72,Cat 8,1,1,112.9,8061.5,No
3824,72,Cat 8,1,1,78.85,5763.15,No
3887,72,Cat 8,1,1,106.85,7677.4,No
3891,72,Cat 8,1,1,109.25,8109.8,Yes
3898,72,Cat 8,1,1,115.5,8425.15,No
3914,72,Cat 8,1,1,24.8,1874.3,No
3953,72,Cat 8,1,1,108.05,7806.6,No
3967,72,Cat 8,1,1,107.7,7919.8,No
3969,72,Cat 8,1,0,20.05,1423.65,No
3985,72,Cat 8,1,1,25.1,1857.85,No
4003,72,Cat 8,1,1,80.85,5727.45,No
4005,72,Cat 8,1,1,67.8,4804.65,No
4007,72,Cat 8,1,0,19.8,1414.65,No
4021,72,Cat 8,0,0,64.95,4546,No
4027,72,Cat 8,1,1,114.3,8058.55,No
4032,72,Cat 8,1,1,110.45,7982.5,No
4052,72,Cat 8,1,1,97.7,6869.7,No
4058,72,Cat 8,1,1,24.9,1859.2,No
4087,72,Cat 8,1,1,79.2,5401.9,No
4104,72,Cat 8,1,1,90.8,6511.8,No
4108,72,Cat 8,1,1,94.45,6921.7,No
4156,72,Cat 8,1,1,117.35,8436.25,No
4163,72,Cat 8,0,0,65.7,4575.35,No
4165,72,Cat 8,1,1,110.9,7922.75,No
4171,72,Cat 8,1,1,115.15,8349.45,No
4202,72,Cat 8,1,0,19.55,1463.45,No
4207,72,Cat 8,1,1,116.8,8456.75,No
4216,72,Cat 8,1,1,108.2,7840.6,No
4217,72,Cat 8,1,1,92,6632.75,No
4230,72,Cat 8,1,1,115.75,8443.7,No
4264,72,Cat 8,1,1,115.55,8312.4,No
4268,72,Cat 8,1,1,91.15,6637.9,No
4271,72,Cat 8,1,1,92.4,6786.1,No
4311,72,Cat 8,0,0,65.6,4566.5,No
4337,72,Cat 8,1,1,110.1,7746.7,No
4398,72,Cat 8,1,1,103.95,7556.9,No
4409,72,Cat 8,1,1,71.45,5025.85,No
4497,72,Cat 8,1,1,89.75,6595.9,No
4506,72,Cat 8,1,1,26,1776,No
4507,72,Cat 8,1,1,77.35,5396.25,No
4514,72,Cat 8,1,1,92.45,6440.25,Yes
4517,72,Cat 8,1,1,87.55,6463.15,No
4551,72,Cat 8,1,1,26.25,1988.05,No
4554,72,Cat 8,1,1,115.8,8424.9,No
4574,72,Cat 8,1,0,20.55,1432.55,No
4575,72,Cat 8,1,1,105.75,7629.85,No
4587,72,Cat 8,1,1,118.75,8672.45,No
4611,72,Cat 8,1,1,117.8,8684.8,Yes
4612,72,Cat 8,1,1,24.15,1776.45,No
4616,72,Cat 8,1,1,64.75,4804.75,No
4621,72,Cat 8,1,1,115.8,8332.15,No
4634,72,Cat 8,1,1,24.05,1709.15,No
4650,72,Cat 8,1,1,108.95,7875,No
4680,72,Cat 8,1,1,86.4,6058.95,No
4687,72,Cat 8,1,1,107.4,7748.75,No
4698,72,Cat 8,1,0,94.65,6747.35,No
4727,72,Cat 8,0,0,49.2,3580.95,No
4738,72,Cat 8,1,1,115.5,8312.75,No
4743,72,Cat 8,1,0,20.8,1521.2,No
4762,72,Cat 8,1,1,25,1738.9,No
4787,72,Cat 8,1,1,103.65,7634.8,No
4798,72,Cat 8,1,1,114.05,8289.2,No
4802,72,Cat 8,1,1,80.85,5824.75,No
4823,72,Cat 8,1,0,104.9,7559.55,No
4825,72,Cat 8,1,1,97.25,7133.1,No
4873,72,Cat 8,1,1,84.9,6065.3,No
4886,72,Cat 8,1,1,111.65,8022.85,No
4907,72,Cat 8,1,1,95.9,6954.15,No
4912,72,Cat 8,1,0,84.8,6141.65,No
4915,72,Cat 8,1,1,74.55,5430.65,No
4935,72,Cat 8,1,1,110.75,7751.7,No
4976,72,Cat 8,1,1,103.75,7346.2,No
4986,72,Cat 8,1,1,83.3,6042.7,No
4994,72,Cat 8,0,0,65.65,4664.5,No
5019,72,Cat 8,1,0,19.7,1379.8,No
5025,72,Cat 8,1,1,25.4,1797.1,No
5029,72,Cat 8,1,0,109.9,7624.2,No
5057,72,Cat 8,1,1,84.7,5893.9,No
5103,72,Cat 8,1,1,110.15,7881.2,No
5159,72,Cat 8,1,1,24.75,1777.6,No
5182,72,Cat 8,1,1,90.8,6397.6,No
5194,72,Cat 8,1,1,26.45,1914.5,No
5196,72,Cat 8,1,0,75.1,5336.35,No
5198,72,Cat 8,1,1,110.15,7998.8,No
5210,72,Cat 8,1,1,109.95,7852.4,No
5213,72,Cat 8,0,0,38.5,2763,No
5226,72,Cat 8,1,1,104.45,7459,No
5250,72,Cat 8,0,0,67.2,4671.7,No
5282,72,Cat 8,1,1,66.75,4760.3,No
5320,72,Cat 8,1,1,109.75,8075.35,No
5348,72,Cat 8,1,1,116.95,8594.4,No
5420,72,Cat 8,1,1,78.5,5602.25,No
5430,72,Cat 8,1,1,79.5,5661.7,No
5478,72,Cat 8,1,1,84.2,5986.55,No
5528,72,Cat 8,1,1,105,7578.05,No
5559,72,Cat 8,1,1,116.4,8543.25,No
5567,72,Cat 8,1,1,82.15,5784.3,No
5614,72,Cat 8,1,1,70.45,5165.7,No
5621,72,Cat 8,1,1,104.8,7470.1,No
5691,72,Cat 8,0,0,61.2,4390.25,No
5694,72,Cat 8,1,1,73.45,5329,No
5696,72,Cat 8,1,1,80.45,5737.6,No
5704,72,Cat 8,1,1,25.4,1809.35,No
5735,72,Cat 8,1,1,89.4,6376.55,No
5743,72,Cat 8,1,1,114.5,8331.95,No
5777,72,Cat 8,1,1,82.3,5980.55,No
5778,72,Cat 8,1,1,68.15,4808.7,No
5787,72,Cat 8,1,1,84.4,6096.45,No
5795,72,Cat 8,1,1,109.75,7932.5,No
5809,72,Cat 8,1,1,108.4,7719.5,No
5829,72,Cat 8,1,1,24.45,1709.1,No
5849,72,Cat 8,1,1,103.95,7517.7,No
5917,72,Cat 8,1,1,112.75,8192.6,No
5923,72,Cat 8,1,1,105.25,7609.75,No
5931,72,Cat 8,1,1,84.7,6185.15,No
5956,72,Cat 8,1,0,68.4,4855.35,No
5996,72,Cat 8,1,0,111.95,8033.1,No
6072,72,Cat 8,1,1,105.55,7542.25,No
6093,72,Cat 8,1,1,94.25,6849.75,No
6098,72,Cat 8,1,1,81,5750,No
6116,72,Cat 8,1,0,109.5,7854.9,No
6119,72,Cat 8,1,1,118.2,8547.15,No
6155,72,Cat 8,1,1,109.2,7711.45,No
6183,72,Cat 8,1,1,88.7,6501.35,No
6190,72,Cat 8,1,1,91.95,6614.9,No
6226,72,Cat 8,1,1,106.1,7548.6,No
6230,72,Cat 8,1,1,85.45,6227.5,No
6240,72,Cat 8,1,1,99.4,7285.7,No
6243,72,Cat 8,1,1,107.45,7658.3,No
6244,72,Cat 8,1,1,83.6,5959.3,No
6359,72,Cat 8,1,0,80.45,5886.85,No
6375,72,Cat 8,1,0,20.7,1482.3,No
6387,72,Cat 8,1,1,83.55,6093.3,No
6401,72,Cat 8,1,1,59.75,4265,No
6404,72,Cat 8,1,1,116.6,8337.45,No
6413,72,Cat 8,1,0,108.3,7679.65,No
6424,72,Cat 8,1,1,24.25,1784.5,No
6425,72,Cat 8,0,0,54.2,3937.45,Yes
6478,72,Cat 8,1,1,109.55,7920.7,No
6515,72,Cat 8,0,0,64.7,4746.05,No
6580,72,Cat 8,1,1,84.3,5997.1,No
6602,72,Cat 8,1,1,109.7,7898.45,No
6630,72,Cat 8,1,1,84.1,6129.65,No
6660,72,Cat 8,1,1,92.3,6719.9,No
6662,72,Cat 8,0,0,53.65,3784,No
6687,72,Cat 8,1,1,109.75,7758.9,No
6701,72,Cat 8,1,1,106.3,7565.35,No
6708,72,Cat 8,1,1,25.7,1937.4,No
6720,72,Cat 8,1,1,25.75,1864.2,No
6729,72,Cat 8,1,1,115.15,8349.7,No
6769,72,Cat 8,1,1,117.5,8670.1,No
6779,72,Cat 8,1,0,19.75,1567,No
6794,72,Cat 8,1,1,108.4,7767.25,No
6816,72,Cat 8,1,1,69.85,5102.35,No
6818,72,Cat 8,1,1,25.85,1872.2,No
6881,72,Cat 8,1,1,25.2,1787.35,No
6916,72,Cat 8,1,1,97.85,6841.3,No
6918,72,Cat 8,1,1,84.05,6052.25,No
6941,72,Cat 8,0,0,55.65,3880.05,No
6983,72,Cat 8,1,0,74.35,5237.4,No
7008,72,Cat 8,0,0,63.1,4685.55,No
7023,72,Cat 8,1,1,104.95,7544.3,No
7038,72,Cat 8,1,0,21.15,1419.4,No
7040,72,Cat 8,1,1,103.2,7362.9,No
18,71,Cat 8,1,1,106.7,7382.25,No
31,71,Cat 8,1,1,96.35,6766.95,No
97,71,Cat 8,1,1,66.85,4748.7,No
130,71,Cat 8,0,0,56.45,3985.35,No
145,71,Cat 8,1,1,23.95,1756.2,No
203,71,Cat 8,1,1,105.55,7405.5,No
222,71,Cat 8,1,1,24.75,1836.9,No
270,71,Cat 8,1,1,24.25,1732.95,No
297,71,Cat 8,1,0,76.05,5436.45,No
317,71,Cat 8,1,0,19.9,1355.1,No
342,71,Cat 8,1,1,85.75,6223.8,No
369,71,Cat 8,1,1,98.65,6962.85,No
502,71,Cat 8,1,1,80.7,5676,No
566,71,Cat 8,1,0,70.85,4973.4,No
568,71,Cat 8,1,1,73.5,5357.75,No
590,71,Cat 8,1,1,90.4,6668.05,No
717,71,Cat 8,0,0,58.25,4145.9,No
781,71,Cat 8,1,0,73.35,5154.5,No
808,71,Cat 8,1,1,108.55,7616,No
897,71,Cat 8,1,1,116.1,8310.55,No
910,71,Cat 8,1,1,111.25,7984.15,No
957,71,Cat 8,1,1,25.45,1813.35,No
969,71,Cat 8,1,0,77.35,5550.1,No
976,71,Cat 8,1,1,108.05,7532.15,Yes
1012,71,Cat 8,0,0,58.65,4145.25,No
1017,71,Cat 8,1,1,80.1,5585.4,No
1035,71,Cat 8,1,0,81.85,5924.4,No
1094,71,Cat 8,1,1,100.45,7159.7,No
1113,71,Cat 8,1,1,89.85,6293.45,No
1138,71,Cat 8,1,0,19.8,1396.25,No
1165,71,Cat 8,1,1,82.7,5831.2,No
1188,71,Cat 8,1,1,104.05,7413.55,No
1277,71,Cat 8,1,0,99.4,7168.25,No
1324,71,Cat 8,1,1,24.65,1710.15,No
1409,71,Cat 8,1,1,104.1,7412.25,No
1427,71,Cat 8,1,1,92,6585.2,No
1485,71,Cat 8,1,0,99.2,7213.75,No
1511,71,Cat 8,1,1,80.4,5727.15,No
1699,71,Cat 8,1,1,84.8,6152.4,No
1712,71,Cat 8,1,1,24.4,1725.4,No
1768,71,Cat 8,1,1,115.15,8078.1,No
1770,71,Cat 8,1,1,93.25,6669.45,No
1795,71,Cat 8,1,1,91.05,6293.75,No
1811,71,Cat 8,1,1,95.15,6770.85,No
1844,71,Cat 8,1,0,19.7,1415.85,No
1861,71,Cat 8,1,0,19.45,1378.45,No
1946,71,Cat 8,1,0,20.5,1500.95,No
2027,71,Cat 8,1,1,105.75,7382.85,No
2041,71,Cat 8,1,1,90.55,6404,No
2051,71,Cat 8,0,0,47.6,3377.8,No
2061,71,Cat 8,1,1,90.35,6325.25,No
2116,71,Cat 8,1,1,118.65,8477.6,No
2181,71,Cat 8,1,0,95.5,6707.15,No
2188,71,Cat 8,1,1,116.25,8564.75,No
2191,71,Cat 8,1,1,84.2,5956.85,No
2219,71,Cat 8,1,0,82,5999.85,No
2222,71,Cat 8,1,0,64.05,4492.9,No
2303,71,Cat 8,1,1,91.25,6589.6,No
2309,71,Cat 8,1,0,104.65,7288.4,No
2319,71,Cat 8,1,1,100.5,7030.65,No
2347,71,Cat 8,1,1,95.75,6849.4,No
2373,71,Cat 8,1,1,90.3,6287.3,No
2376,71,Cat 8,1,0,109.7,7904.25,No
2390,71,Cat 8,1,1,85.45,6300.85,No
2395,71,Cat 8,1,1,79.05,5552.5,No
2404,71,Cat 8,1,0,84.8,6046.1,No
2455,71,Cat 8,1,1,24.55,1719.15,No
2508,71,Cat 8,1,1,24.5,1816.2,No
2532,71,Cat 8,1,1,24.45,1681.6,No
2562,71,Cat 8,1,1,99,7061.65,No
2573,71,Cat 8,1,1,25,1753,No
2596,71,Cat 8,1,1,80.45,5662.25,No
2598,71,Cat 8,1,1,109.6,7854.15,No
2622,71,Cat 8,1,0,79.1,5564.85,No
2681,71,Cat 8,1,0,85.45,6029.9,No
2698,71,Cat 8,1,1,87.95,6365.35,No
2789,71,Cat 8,1,1,85.45,6028.95,No
2900,71,Cat 8,0,0,53.95,3888.65,No
2936,71,Cat 8,1,0,86.1,6045.9,No
2984,71,Cat 8,1,1,89.9,6457.15,No
3041,71,Cat 8,1,1,108.6,7690.9,Yes
3052,71,Cat 8,1,1,89.9,6342.7,No
3076,71,Cat 8,1,1,105.7,7472.15,No
3097,71,Cat 8,0,0,61.4,4310.35,No
3185,71,Cat 8,1,1,83.3,5894.5,No
3349,71,Cat 8,1,1,105.9,7521.95,No
3376,71,Cat 8,1,0,19.9,1389.35,No
3441,71,Cat 8,1,1,90.55,6239.05,No
3539,71,Cat 8,1,0,100.2,7209,No
3547,71,Cat 8,1,1,83.2,6126.1,No
3549,71,Cat 8,1,1,97.65,6687.85,No
3626,71,Cat 8,1,0,19.85,1379.6,No
3650,71,Cat 8,1,1,25.35,1847.55,No
3651,71,Cat 8,1,1,24.65,1766.75,No
3666,71,Cat 8,1,1,99,6994.6,No
3684,71,Cat 8,1,0,54.5,3778.2,No
3879,71,Cat 8,1,1,116.05,8297.5,No
3882,71,Cat 8,1,1,65.15,4681.75,No
3921,71,Cat 8,1,1,86.4,6172,No
3983,71,Cat 8,1,1,24.35,1654.6,No
4148,71,Cat 8,1,1,24.85,1901,No
4150,71,Cat 8,0,0,49.35,3515.25,Yes
4195,71,Cat 8,1,1,25.95,1801.9,No
4225,71,Cat 8,1,0,19.6,1416.5,No
4232,71,Cat 8,1,1,80.6,5708.2,No
4321,71,Cat 8,1,0,20.85,1539.75,No
4332,71,Cat 8,1,1,25.55,1898.1,No
4338,71,Cat 8,1,1,99.65,6951.15,No
4375,71,Cat 8,1,0,19.6,1387.45,No
4410,71,Cat 8,0,0,46.35,3353.4,No
4534,71,Cat 8,1,1,105.15,7555,No
4563,71,Cat 8,1,1,114.6,8100.25,No
4566,71,Cat 8,0,0,66.8,4689.15,No
4581,71,Cat 8,1,0,19.1,1372.45,No
4584,71,Cat 8,1,1,90.1,6310.9,No
4638,71,Cat 8,1,0,71,5012.1,No
4733,71,Cat 8,1,0,19.9,1397.3,No
4767,71,Cat 8,1,1,113.15,7993.3,No
4769,71,Cat 8,1,0,19.8,1388.45,No
4784,71,Cat 8,1,1,69.2,4982.5,No
4865,71,Cat 8,1,1,113.15,7953.25,No
4908,71,Cat 8,1,1,23.85,1672.1,No
4921,71,Cat 8,1,0,20.1,1389.6,No
4944,71,Cat 8,1,0,84.4,5969.3,No
4973,71,Cat 8,1,1,25.05,1873.7,No
4988,71,Cat 8,1,1,24.45,1730.65,No
5015,71,Cat 8,0,0,52.3,3765.05,No
5023,71,Cat 8,1,0,109.3,7782.85,No
5069,71,Cat 8,1,0,20.9,1493.2,No
5097,71,Cat 8,1,1,86.85,6263.8,No
5114,71,Cat 8,1,1,113.65,8166.8,No
5133,71,Cat 8,1,1,66.2,4692.55,No
5139,71,Cat 8,1,1,106.8,7623.2,No
5253,71,Cat 8,1,1,107.5,7713.55,No
5286,71,Cat 8,1,0,80.7,5705.05,No
5291,71,Cat 8,0,0,59.7,4122.65,No
5345,71,Cat 8,1,0,76.9,5522.7,No
5374,71,Cat 8,1,0,105.25,7291.75,No
5407,71,Cat 8,1,1,97.2,6910.3,No
5452,71,Cat 8,1,1,95.65,6856.95,No
5471,71,Cat 8,1,0,89.45,6435.25,No
5518,71,Cat 8,1,0,86.7,6179.35,No
5538,71,Cat 8,1,1,115.05,8016.6,No
5703,71,Cat 8,1,1,105.1,7548.1,Yes
5734,71,Cat 8,1,0,19.85,1326.35,No
5770,71,Cat 8,1,1,109,7661.8,No
5805,71,Cat 8,1,1,23.9,1663.5,No
5860,71,Cat 8,1,1,89.3,6388.65,No
5897,71,Cat 8,1,1,25.45,1789.65,No
5898,71,Cat 8,1,1,23.9,1626.4,No
6004,71,Cat 8,1,1,93.2,6506.15,No
6094,71,Cat 8,0,0,47.05,3263.6,No
6100,71,Cat 8,1,1,24.7,1810.55,No
6136,71,Cat 8,1,1,114,8175.9,No
6291,71,Cat 8,1,1,93.7,6585.35,Yes
6304,71,Cat 8,1,1,109.25,7707.7,No
6307,71,Cat 8,1,1,116.3,8309.55,No
6310,71,Cat 8,1,1,25.6,1888.25,No
6399,71,Cat 8,1,1,106,7723.7,Yes
6583,71,Cat 8,1,1,106.75,7283.25,No
6596,71,Cat 8,1,0,82.55,5832.65,No
6615,71,Cat 8,1,0,19.7,1301.1,No
6648,71,Cat 8,1,0,77.55,5574.35,No
6696,71,Cat 8,1,1,71.1,5224.95,No
6736,71,Cat 8,1,0,87.25,6328.7,No
6764,71,Cat 8,1,1,72.9,5139.65,No
6860,71,Cat 8,1,1,111.3,7985.9,No
6883,71,Cat 8,1,1,99.65,7181.25,No
6935,71,Cat 8,1,1,104.15,7365.3,No
6993,71,Cat 8,1,1,100.55,7113.75,No
42,70,Cat 7,1,1,69.2,4872.35,No
153,70,Cat 7,1,1,108.15,7930.55,No
348,70,Cat 7,1,0,19.45,1303.5,No
417,70,Cat 7,1,1,98.7,6858.9,No
466,70,Cat 7,0,0,40.05,2799.75,No
498,70,Cat 7,1,0,19.8,1397.65,No
503,70,Cat 7,1,1,65.2,4543.15,No
532,70,Cat 7,1,0,20.05,1360.25,No
670,70,Cat 7,0,0,57.8,4039.3,No
